0xe535161f _sceAppMgrPspSaveDataRead
0x371f6f81 sceAppMgrIsOtherAppPresent
0x19b76d11 _sceAppMgrConvertVs0UserDrivePath
0x29ac9df0 _sceAppMgrGetPidListForShell
0xf28a426b _sceAppMgrSaveDataGetQuota
0x2163759a sceAppMgrSetSystemImposeState2
0x855cdaa4 _sceAppMgrSaveDataSlotFileOpen
0xf8b80ac2 _sceAppMgrTrophyMount
0xf42e27ad _sceAppMgrSendNotificationRequest
0xfde9a3e3 _sceAppMgrOverwriteLaunchParamForShell
0xacdce4db sceAppMgrReleaseBtrm
0xef34ca42 _sceAppMgrAppParamGetString
0xf07b816e _sceAppMgrAppDataMount
0xf3717e37 sceAppMgrReleaseBgmPort
0x7f0c9410 _sceAppMgrIsCameraActive
0xacb48075 sceAppMgrAcquireSoundOutExclusive
0x454eb183 _sceAppMgrGameDataMount
0x332c9d98 sceAppMgrGetAppIdByAppId
0x8964e793 _sceAppMgrSetSystemDataFilePlayReady
0xf29e0732 _sceAppMgrCaptureFrameBufIFTUByAppId
0x43631508 sceAppMgrActivateApp
0x8fe4f651 _sceAppMgrLaunchAppByPath4
0x95a6b1bf _sceAppMgrSaveDataMount
0xeefbc756 _sceAppMgrGetBootParam
0x21a86141 _sceAppMgrReceiveNotificationRequestForShell
0xf4703412 _sceAppMgrUpdateSaveDataParam
0x3dfc9410 _sceAppMgrTrophyMountById
0x58e4cc90 _sceAppMgrWorkDirMountById
0xdd747fb sceAppMgrQuitApp
0xdac0af12 _sceAppMgrLaunchAppByName
0xac9968b7 _sceAppMgrGetFgAppInfo
0xe134f5a0 sceAppMgrIsGameBudgetAppPresent
0xc7566c46 _sceAppMgrGetMediaTypeFromDriveByPid
0x18eb1dac _sceAppMgrSystemParamGetInt
0xfb67babd sceAppMgrReceiveShellEventNum
0x667cc149 _sceAppMgrSaveDataSlotFileGetParam
0x1a844716 _sceAppMgrGetMountProcessNum
0xe455922d sceAppMgrRestoreDisplaySettingForShell
0xfaf3daaa sceAppMgrLoadSafeMemory
0x74d789e2 _sceAppMgrSaveDataSlotGetParam
0x258c3e3c _sceAppMgrGetAppParam
0x5f22e192 sceAppMgrIsNonGameProgram
0x3dd7e65 _sceAppMgrGetCoredumpStateForShell
0x15d7ca34 _sceAppMgrCheckRifGD
0xc361c084 _sceAppMgrGetVs0UserDataDrive
0x3493cdfa _sceAppMgrLoopBackMount
0xaf8c7ffb sceAppMgrSetAppProtectionModeOnMemoryShortage
0xbdf15bdc _sceAppMgrDeclareShellProcess2
0x3ef143bf sceAppMgrDestroyOtherApp
0xcf1c0c0c _sceAppMgrAppMount
0xad9022a1 sceAppMgrSetInfobarState
0xda66ae0e _sceAppMgrGetRunningAppIdListForShell
0xb81777b7 _sceAppMgrSaveDataDataSave
0x5957390f _sceAppMgrAppParamSetString
0xb2ea376f _sceAppMgrPhotoUmount
0x6e65d746 _sceAppMgrGetAppInfo
0xceaf12b6 _sceAppMgrSendSystemEvent
0x6cbcbe1a _sceAppMgrAcidDirSet
0x4c3b5bb8 _sceAppMgrLaunchAppByNameForShell
0x5075ae28 _sceAppMgrBgdlGetQueueStatus
0x13ed8ffd _sceAppMgrAcquireSoundOutExclusive3
0xc311cc17 _sceAppMgrGetIdByName
0xdedd2aed _sceAppMgrLaunchAppByName2ndStage
0xaaed7419 sceAppMgrAcquireBgmPortWithPriority
0xd9bcc50c sceAppMgrRestoreBgmSettingForShell
0xf7dfe96e sceAppMgrSetInfobarStateForShellByAppId
0x667e10a _sceAppMgrAddContMount
0xbf4213a3 _sceAppMgrGetStatusByAppId
0x3eeec172 _sceAppMgrReceiveEventNum
0xd4b0cdb4 _sceAppMgrSetNetworkDisconnectionWarningDialogState
0x3e4ac082 sceAppMgrSendLiveBoardMode
0x84b138bf _sceAppMgrGetUserDirPath
0xdc70c5f7 sceAppMgrDestroyOtherAppByAppIdForShell
0x64dd4321 sceAppMgrResumeBgAppByShell
0xc648ea9b sceAppMgrIsPidShellAndCrashed
0x9275414a _sceAppMgrAppDataMountById
0x626c339d sceAppMgrReleaseSoundOutExclusive3
0x52766019 _sceAppMgrGetDevInfo
0x75876896 sceAppMgrSetRecommendedScreenOrientationActivated
0x4401edcd sceAppMgrGrowMemory3
0x5ab230de sceAppMgrEnableDuckingOnSystemChat
0x191cf6b1 _sceAppMgrSaveDataSlotDelete
0x9fb3e2c8 _sceAppMgrGetRawPath
0xc6ba9596 _sceAppMgrLaunchAppByName2ForShell
0xd29236ad _sceAppMgrSendParam
0xd366aa44 sceAppMgrSaveSafeMemory
0xaef06983 _sceAppMgrLaunchAppByName2
0x79689a1d _sceAppMgrSaveDataSlotInit
0x26d43923 _sceAppMgrGetAppParam2
0x8cc3dc46 _sceAppMgrPeekLaunchParamForShell
0xffca54e0 _sceAppMgrUmount
0xc49659e _sceAppMgrWorkDirMount
0x7d4f8f83 sceAppMgrIsDevelopmentMode
0x550422f9 _sceAppMgrGetRawPathOfApp0ByPidForShell
0xb0ecb9c2 _sceAppMgrSetPowerSaveMode
0x210c0046 __sceAppMgrGetAppState
0xafceab96 sceAppMgrAcquireBgmPort
0xe8357021 _sceAppMgrSetBackRenderPortOwner
0xeb318002 _sceAppMgrDestroyAppByName
0x63fac2a9 sceAppMgrGetProcessIdByAppIdForShell
0x7333c2f1 sceAppMgrSetBgmSubPriority
0x5bcf6927 sceAppMgrSuspendBgAppByShell
0x37ce3984 _sceAppMgrLaunchAppByUri
0xd752695d sceAppMgrAcquireBtrm
0x77ee891d sceAppMgrDeclareSystemChatApp
0xb9365442 sceAppMgrAcquireSoundOutExclusive2
0xb7f95389 _sceAppMgrSystemParamDateTimeGetConf
0x37e94672 _sceAppMgrGetRecommendedScreenOrientation
0xd16b91b5 sceAppMgrSetSystemImposeState
0x8e93582 _sceAppMgrGetNameById
0x842fce8c sceAppMgrGrowMemory
0xdc478fb1 _sceAppMgrContentInstallPeriodStart
0x5420d23c sceAppMgrDestroyOtherAppByPidForShell
0xe56a2e1b _sceAppMgrMmsMount
0x46b208d4 _sceAppMgrGetPfsDrive
0x90e42b4d sceAppMgrSetBgmSubPriorityForSystemChat
0x6c52a377 _sceAppMgrGetSaveDataInfo
0x5cf3ba39 sceAppMgrReturnLiveAreaOperationResultForShell
0xa77df8ba _sceAppMgrPspSaveDataRootMount
0x89d1da55 sceAppMgrExitToLiveboardForGameApp
0x10e23253 _sceAppMgrSetShellScreenOrientation
0xaf5f9497 _sceAppMgrSystemParamGetString
0xd6758b4e sceAppMgrSetInfobarStateForCommonDialog
0xc48833aa _sceAppMgrSaveDataSlotCreate
0x2fb40418 _sceAppMgrAppUmount
0x3f7b9bb5 _sceAppMgrGetCurrentBgmState2
0xd70d5eec _sceAppMgrSendSystemEvent2
0x211d9558 _sceAppMgrGetStatusById
0x2598ec8a _sceAppMgrForceUmount
0x52ff63d1 sceAppMgrFinishCoredumpForShell
0x527795e8 sceAppMgrDump
0x32fd0b99 sceAppMgrEnableCoredumpForTest
0xfe821175 _sceAppMgrSaveDataSlotFileClose
0xeacf2237 _sceAppMgrGetBudgetInfo
0x53623420 _sceAppMgrSaveDataUmount
0x389f048d sceAppMgrNotifyLiveBoardModeForShell
0xea307d2c _sceAppMgrLoopBackFormat
0xc8d32206 _sceAppMgrGetMediaTypeFromDrive
0x85589e87 _sceAppMgrGetVs0UserModuleDrive
0x3e1fab92 sceAppMgrEnablePrioritizingSystemChat
0xecec7f90 sceAppMgrSuspendUntilActivated
0xffa093d9 sceAppMgrDeactivateApp
0x4b45eac0 _sceAppMgrLaunchAppByUri2
0x72abdc61 sceAppMgrGetAppInfo
0xe6774abc sceAppMgrLoadExec
0x79f9e63a sceAppMgrGetIdByName
0x81d8d15d sceAppMgrGetRawPathOfApp0ByAppIdForShell
0x47958de5 sceAppMgrGetStatusByAppId
0xc0631748 sceAppMgrGetVs0UserDataDrive
0x3d816dfa sceAppMgrGetAppParam2
0x91be107e sceAppMgrSaveDataSlotFileOpen
0x7149016e sceAppMgrSetBackRenderPortOwner
0x10b5765f sceAppMgrReceiveSystemEvent
0x6ef25378 sceAppMgrGetSaveDataInfo
0x42945d67 sceAppMgrLaunchAppByName2
0x553aa57b sceAppMgrAddContMount
0xa1d43805 sceAppMgrLaunchAppByNameForShell
0xd43fdf20 sceAppMgrDrmOpen
0x33cd76dd sceAppMgrLoopBackMount
0x613a70e2 sceAppMgrGetRunningAppIdListForShell
0x84fe08ee sceAppMgrTrophyMount
0x4c02b889 sceAppMgrLaunchVideoStreamingApp
0x9619c150 sceAppMgrAppUmount
0x43558909 sceAppMgrGetMountProcessNum
0x5e86319a _sceAppMgrGetAppState
0xc733ae2 sceAppMgrAppParamGetString
0xf71cc393 sceAppMgrPhotoMount
0xcfad5a3a sceAppMgrReceiveEvent
0x17653d70 sceAppMgrSaveDataSlotGetParam
0x345f5cc0 sceAppMgrSetSystemDataFile
0x2cf000bd sceAppMgrSetPowerSaveMode
0x3c634f sceAppMgrLaunchAppByUri
0x8b123d24 sceAppMgrIsCameraActive
0x6b0e7cf0 sceAppMgrSaveDataSlotDelete
0xd97ac34e sceAppMgrAcquireSoundOutExclusive3
0x15ac8c52 sceAppMgrReceiveShellEvent
0xe352b29c sceAppMgrSetNetworkDisconnectionWarningDialogState
0x73e5d57d sceAppMgrGetBootParam
0x139d9d93 sceAppMgrGetPfsDrive
0xadaa658e sceAppMgrConvertVs0UserDrivePath
0x6412f2d4 sceAppMgrLaunchAppByName2ForShell
0xce8ce150 sceAppMgrLoopBackFormat
0xcecfc7cb sceAppMgrLaunchAppByPath4
0x656e0abd sceAppMgrGetStatusByName
0x4570dc15 sceAppMgrDestroyAppByName
0x5b07c10b sceAppMgrAppParamSetString
0x717e2ae sceAppMgrSaveDataGetQuota
0xbb41230e sceAppMgrSendParam
0x442ada77 sceAppMgrSetSystemDataFilePlayReady
0x1b0bd20d sceAppMgrUpdateSaveDataParam
0x4544fcc5 sceAppMgrSaveDataDataRemove
0x27cedb95 sceAppMgrGetCoredumpStateForShell
0xc80e4b0f sceAppMgrGetSaveDataInfoForSpecialExport
0xf0dfb1ef sceAppMgrReceiveNotificationRequestForShell
0xacb3826a sceAppMgrGetCurrentBgmState
0x9899a08 sceAppMgrSystemParamGetString
0xc014aa52 sceAppMgrGetMediaTypeFromDrive
0x5253338c sceAppMgrGetUserDirPath
0x919fdae7 sceAppMgrUmountByPid
0x3fd3073c sceAppMgrSaveDataSlotSetStatus
0x47e5dd7d sceAppMgrReceiveEventNum
0x127f3beb sceAppMgrAppMount
0x6e5cbca2 sceAppMgrCheckRifGD
0x8f6213ca sceAppMgrGetMediaTypeFromDriveByPid
0xb3dfc681 sceAppMgrContentInstallPeriodStop
0xb79e4bb sceAppMgrGetRawPathOfApp0ByPidForShell
0x5e375921 sceAppMgrUmount
0xc42f41e9 sceAppMgrSetBgmProxyApp
0x44f8347c sceAppMgrCaptureFrameBufDMACByAppId
0x2b40ba12 sceAppMgrAddContAddMount
0x9b3bb24d sceAppMgrWorkDirMount
0x80e86e42 sceAppMgrWorkDirMountById
0x906154de sceAppMgrGetVs0UserModuleDrive
0xe8bd32bd sceAppMgrAppDataMountById
0xf4730ba8 sceAppMgrMmsMount
0x219043ff sceAppMgrSetRecommendedScreenOrientationForShell
0x251a224d sceAppMgrContentInstallPeriodStart
0xaef9df01 sceAppMgrSendSystemEvent2
0x9b2422e0 sceAppMgrGetAppParam
0xe39fc7d5 sceAppMgrSystemParamDateTimeGetConf
0x5c7be748 sceAppMgrSetShellScreenOrientation
0x143ea292 sceAppMgrGetStatusById
0xa8065fa4 sceAppMgrSaveDataSlotSetParam
0xed6af54 sceAppMgrLaunchAppByUri2
0x67705391 sceAppMgrGetDevInfo
0x1f3a2f25 sceAppMgrSaveDataSlotGetStatus
0xe8d27e8 sceAppMgrGetRawPath
0x31f3cc59 sceAppMgrSaveDataMount
0x31efa73a sceAppMgrAcidDirSet
0x9e57853d sceAppMgrAppParamGetInt
0xc176317b sceAppMgrSaveDataSlotFileGetParam
0x5181d7b3 sceAppMgrSaveDataSlotCreate
0xc94b7e24 sceAppMgrPspSaveDataRootMount
0xc9c77e21 sceAppMgrLaunchAppByName
